Date,Adj Close Chevron stock,Adj Close Exxonmobil stock,Price S&P Oil,Price treasury,Price WTI crude oil,,
26-03-2014,78.867645,62.598408,"10,876.50",2.694,100.23,,
27-03-2014,78.840851,63.616409,"10,896.20",2.683,101.28,,
28-03-2014,79.396973,64.58149,"10,959.70",2.723,101.6,,
31-03-2014,79.671669,64.568283,"11,103.20",2.719,101.57,,
01-04-2014,79.731964,64.601311,"11,153.90",2.755,99.69,,
02-04-2014,79.966476,64.746735,"11,045.20",2.806,99.64,,
03-04-2014,79.758789,64.733551,"10,799.90",2.801,100.27,,
04-04-2014,79.597984,64.356735,"11,007.60",2.726,101.15,,
07-04-2014,78.619736,63.973339,"11,119.40",2.701,100.46,,
08-04-2014,78.927956,64.416222,"10,949.00",2.683,102.59,,
09-04-2014,79.798965,64.336914,"10,893.30",2.693,103.5,,
10-04-2014,78.184219,63.973339,"11,119.70",2.647,103.38,,
11-04-2014,78.412041,63.933681,"11,303.60",2.628,103.66,,
14-04-2014,79.530952,64.687248,"11,490.40",2.65,103.98,,
15-04-2014,80.602982,65.229286,"11,665.30",2.63,103.65,,
16-04-2014,81.628128,66.06218,"11,734.60",2.635,103.78,,
17-04-2014,82.867638,66.379463,"11,712.50",2.721,104.29,,
21-04-2014,83.242867,66.716568,"11,784.80",2.715,104.3,,
22-04-2014,83.082039,66.346413,"11,836.20",2.711,101.69,,
23-04-2014,83.544373,66.432327,"11,614.10",2.693,101.5,,
24-04-2014,83.283066,66.108437,"11,593.10",2.682,101.9,,
25-04-2014,83.075363,66.372849,"11,743.40",2.666,100.53,,
28-04-2014,84.241196,66.875221,"11,779.20",2.708,100.86,,
29-04-2014,84.401993,67.060303,"11,648.90",2.697,101.21,,
30-04-2014,84.100464,67.694885,"11,731.80",2.646,99.77,,
01-05-2014,83.711876,67.033859,"11,701.10",2.613,99.44,,
02-05-2014,83.564476,67.430473,"11,657.30",2.586,99.81,,
05-05-2014,83.993271,68.025406,"11,666.70",2.606,99.43,,
06-05-2014,83.731949,67.866745,"11,312.90",2.593,99.58,,
07-05-2014,84.576187,68.1576,"11,296.30",2.59,100.78,,
08-05-2014,83.81234,67.635384,"11,401.00",2.611,100.23,,
09-05-2014,83.772179,67.848358,"11,493.30",2.623,100.01,,
12-05-2014,83.912872,68.034706,"11,379.30",2.661,100.59,,
13-05-2014,84.321587,68.121208,"11,260.30",2.611,101.73,,
14-05-2014,84.703484,68.074623,"11,258.50",2.548,102.38,,
15-05-2014,83.662842,67.06971,"11,356.10",2.496,101.49,,
16-05-2014,83.237152,67.043098,"11,275.00",2.523,102.05,,
19-05-2014,83.081711,67.129608,"11,463.30",2.545,102.65,,
20-05-2014,82.777672,66.996521,"11,424.30",2.514,102.51,,
21-05-2014,83.899376,67.901581,"11,341.10",2.534,104.02,,
22-05-2014,83.541229,67.548866,"11,457.80",2.554,103.74,,
23-05-2014,83.365547,67.429085,"11,589.50",2.536,104.36,,
27-05-2014,83.007393,67.455704,"11,786.50",2.541,104.16,,
28-05-2014,82.791168,67.25605,"11,681.20",2.518,102.72,,
29-05-2014,82.656021,67.395813,"11,545.30",2.445,103.62,,
30-05-2014,82.973618,66.903328,"11,619.90",2.47,102.73,,
02-06-2014,82.58168,66.510696,"11,651.50",2.475,102.45,,
03-06-2014,82.811417,66.810165,"11,756.80",2.527,102.72,,
04-06-2014,82.676308,66.57724,"11,830.20",2.599,102.55,,
05-06-2014,83.466896,66.916656,"11,869.50",2.606,102.52,,
06-06-2014,83.919647,67.615425,"11,801.70",2.584,102.72,,
09-06-2014,84.041275,67.562195,"11,920.30",2.597,104.38,,
10-06-2014,84.696724,67.522232,"12,083.80",2.608,104.37,,
11-06-2014,84.588615,67.848358,"12,220.80",2.64,104.4,,
12-06-2014,85.217041,67.655365,"12,263.00",2.64,106.5,,
13-06-2014,85.994148,68.314224,"12,278.50",2.597,106.86,,
16-06-2014,86.859085,68.493912,"12,407.40",2.608,106.88,,
17-06-2014,87.055054,68.161133,"12,532.40",2.597,106.29,,
18-06-2014,88.034874,68.367447,"12,642.10",2.653,106.02,,
19-06-2014,89.190384,68.300911,"12,669.70",2.59,106.4,,
20-06-2014,89.426895,69.09951,"12,181.50",2.621,107.3,,
23-06-2014,89.859344,69.465523,"12,377.40",2.608,106.17,,
24-06-2014,89.041718,68.367447,"12,343.50",2.626,105.97,,
25-06-2014,88.676819,67.974808,"12,404.80",2.577,106.5,,
26-06-2014,88.467354,67.901581,"12,490.70",2.561,105.82,,
27-06-2014,88.088936,67.355873,"12,457.10",2.532,105.74,,
30-06-2014,88.217323,67.003151,"12,383.60",2.536,105.29,,
01-07-2014,88.210564,67.455704,"12,410.70",2.532,105.32,,
02-07-2014,88.001076,67.595482,"12,146.00",2.567,104.44,,
03-07-2014,88.649803,68.274269,"12,126.20",2.628,104.02,,
07-07-2014,88.163254,68.314224,"12,243.90",2.641,103.53,,
08-07-2014,87.778091,68.434006,"12,061.90",2.614,103.33,,
09-07-2014,88.784927,68.91317,"11,890.30",2.559,102.29,,
10-07-2014,88.014618,68.260971,"12,041.00",2.556,102.95,,
11-07-2014,86.811806,67.708588,"11,774.30",2.538,100.78,,
14-07-2014,87.345619,68.334167,"11,989.30",2.516,101.02,,
15-07-2014,87.345619,68.141182,"11,738.80",2.516,99.96,,
16-07-2014,88.447083,69.05957,"11,898.90",2.547,101.2,,
17-07-2014,87.899734,68.087936,"11,921.90",2.552,103.05,,
18-07-2014,88.109215,68.367447,"12,016.70",2.53,103.09,,
21-07-2014,88.717361,68.600372,"12,105.60",2.442,104.59,,
22-07-2014,89.589066,68.906532,"12,104.50",2.482,104.42,,
23-07-2014,90.467514,69.379013,"11,937.50",2.469,103.1,,
24-07-2014,91.122978,69.398979,"11,778.90",2.466,102.07,,
25-07-2014,90.258057,68.666916,"11,827.50",2.469,102.09,,
28-07-2014,90.035042,69.45887,"11,721.00",2.502,101.66,,
29-07-2014,89.480942,68.91317,"11,417.20",2.467,100.97,,
30-07-2014,89.555283,68.713493,"11,196.80",2.487,100.19,,
31-07-2014,87.332108,65.845169,"11,511.10",2.462,98.2,,
01-08-2014,86.42662,65.751999,"11,193.00",2.56,97.79,,
04-08-2014,86.60907,66.637146,"11,251.80",2.562,98.25,,
05-08-2014,84.43998,65.352684,"11,179.10",2.494,97.38,,
06-08-2014,84.960297,65.871788,"11,528.00",2.494,96.92,,
07-08-2014,84.906227,65.399284,"11,534.50",2.485,97.36,,
08-08-2014,86.39959,66.377579,"11,310.10",2.489,97.65,,
11-08-2014,86.298233,66.163155,"11,322.30",2.469,98.08,,
12-08-2014,85.879288,66.002312,"11,190.60",2.409,97.27,,
13-08-2014,86.2239,66.404396,"11,354.90",2.422,97.59,,
14-08-2014,85.791412,66.404396,"11,420.20",2.429,95.58,,
15-08-2014,85.93454,66.364159,"11,534.40",2.449,97.31,,
18-08-2014,86.070839,66.692558,"11,554.50",2.42,96.41,,
19-08-2014,86.977203,66.672455,"11,649.30",2.403,94.43,,
20-08-2014,86.88179,66.813171,"11,574.30",2.341,96.07,,
21-08-2014,87.181656,66.531731,"11,785.00",2.394,93.95,,
22-08-2014,86.622818,66.008995,"11,828.40",2.403,93.64,,
25-08-2014,87.120316,66.176544,"11,771.40",2.428,93.35,,
26-08-2014,87.399727,66.77298,"11,825.90",2.409,93.83,,
27-08-2014,87.66552,66.699272,"11,986.90",2.403,93.88,,
28-08-2014,87.740448,66.726089,"11,758.10",2.384,94.52,,
29-08-2014,88.217514,66.652367,"11,770.20",2.398,95.96,,
02-09-2014,86.915886,66.002312,"11,496.20",2.361,95.86,,
03-09-2014,87.133957,66.417809,"11,620.90",2.338,92.88,,
04-09-2014,86.411591,65.915184,"11,368.40",2.345,95.52,,
05-09-2014,86.820457,66.518318,"11,234.40",2.359,94.45,,
08-09-2014,86.009506,65.519798,"11,265.20",2.423,93.29,,
09-09-2014,85.307587,65.26516,"11,339.00",2.398,92.68,,
10-09-2014,84.694244,64.876472,"11,120.60",2.453,92.75,,
11-09-2014,84.387596,65.023918,"11,132.40",2.459,91.74,,
12-09-2014,83.590271,64.186226,"11,329.20",2.471,92.85,,
15-09-2014,84.666985,64.527992,"11,299.80",2.502,92.24,,
16-09-2014,85.157669,65.291954,"11,112.20",2.543,92.82,,
17-09-2014,84.994095,65.057411,"10,983.30",2.55,94.91,,
18-09-2014,84.598854,64.742424,"10,653.20",2.609,94.42,,
19-09-2014,85.048607,65.084236,"10,643.50",2.609,93.1,,
22-09-2014,84.155899,64.695526,"10,772.90",2.591,92.39,,
23-09-2014,83.862846,64.35376,"10,524.10",2.594,91.46,,
24-09-2014,83.413071,64.21302,"10,684.80",2.622,91.54,,
25-09-2014,82.240952,63.160912,"10,799.90",2.618,92.8,,
26-09-2014,82.779282,63.951679,"10,454.40",2.578,92.48,,
29-09-2014,82.152328,63.281567,"10,151.50",2.566,93.5,,
30-09-2014,81.314117,63.02689,"10,091.80",2.527,94.57,,
01-10-2014,80.176048,62.229404,"9,953.70",2.566,91.21,,
02-10-2014,79.808044,62.524277,"9,887.40",2.504,90.78,,
03-10-2014,80.216904,62.939743,"9,615.70",2.528,91.01,,
06-10-2014,80.475891,63.341831,"9,708.70",2.528,89.74,,
07-10-2014,79.065208,62.571198,"9,172.70",2.479,90.34,,
08-10-2014,80.380493,63.402157,"8,921.30",2.495,88.9,,
09-10-2014,78.036194,61.532471,"8,394.00",2.389,87.29,,
10-10-2014,77.613686,61.385044,"8,260.50",2.436,85.77,,
13-10-2014,76.346138,60.875717,"8,598.80",2.436,85.82,,
14-10-2014,74.812805,60.681393,"9,003.10",2.42,85.74,,
15-10-2014,74.46524,60.460239,"8,779.80",2.341,81.83,,
16-10-2014,75.685089,60.714878,"8,890.90",2.318,81.84,,
17-10-2014,76.189392,61.123657,"9,188.70",2.327,82.6,,
20-10-2014,75.978119,61.498932,"8,789.80",2.286,82.76,,
21-10-2014,78.43148,62.758816,"9,063.80",2.238,82.71,,
22-10-2014,77.68866,62.410362,"8,945.70",2.197,83.26,,
23-10-2014,79.181091,63.06707,"8,623.00",2.129,80.52,,
24-10-2014,78.990273,63.321751,"9,018.40",2.151,82,,
27-10-2014,78.383751,62.799023,"9,121.70",2.199,81.07,,
28-10-2014,79.821693,63.730526,"8,976.70",2.193,81,,
29-10-2014,79.828484,63.388752,"9,230.00",2.227,81.42,,
30-10-2014,79.86937,63.294937,"9,036.40",2.22,82.21,,
31-10-2014,81.743454,64.809456,"8,674.70",2.277,80.88,,
03-11-2014,79.583176,63.837753,"8,921.90",2.266,80.5,,
04-11-2014,78.622284,63.341831,"8,994.20",2.259,78.78,,
05-11-2014,79.767143,63.710419,"9,359.80",2.3,77.2,,
06-11-2014,80.775764,64.507881,"9,106.80",2.321,78.68,,
07-11-2014,80.959755,65.196388,"9,209.90",2.308,77.91,,
10-11-2014,80.360054,64.987129,"9,149.40",2.335,78.67,,
11-11-2014,80.714432,65.074875,"8,895.90",2.346,77.41,,
12-11-2014,80.176048,64.379639,"9,105.00",2.335,77.94,,
13-11-2014,79.358253,63.893673,"8,876.30",2.346,77.15,,
14-11-2014,80.004807,64.183884,"8,902.40",2.382,74.18,,
17-11-2014,79.612755,64.197411,"8,923.60",2.301,75.94,,
18-11-2014,79.420174,64.035408,"9,218.20",2.36,75.64,,
19-11-2014,80.107971,64.534912,"9,401.60",2.371,74.59,,
20-11-2014,80.68573,64.676643,"9,264.60",2.373,74.54,,
21-11-2014,81.559219,65.344872,"9,104.10",2.345,75.62,,
24-11-2014,80.878296,64.609138,"8,858.10",2.319,76.51,,
25-11-2014,79.887878,63.974648,"7,725.40",2.34,75.78,,
26-11-2014,79.172569,63.772179,"7,582.50",2.317,74.09,,
28-11-2014,74.880707,61.11274,"7,552.80",2.358,73.69,,
01-12-2014,76.847801,62.334435,"7,715.50",2.338,66.15,,
02-12-2014,78.422852,63.576424,"7,462.00",2.312,69,,
03-12-2014,78.209641,64.089401,"7,291.00",2.305,66.96,,
04-12-2014,77.226082,63.697903,"6,772.60",2.259,67.3,,
05-12-2014,76.256302,63.326672,"7,096.20",2.245,66.77,,
08-12-2014,73.456947,61.895733,"6,754.10",2.215,65.84,,
09-12-2014,73.601387,61.67971,"6,711.40",2.173,63.15,,
10-12-2014,72.122627,59.850521,"6,638.00",2.236,63.71,,
11-12-2014,72.157021,60.208275,"6,461.60",2.294,61.03,,
12-12-2014,70.416878,58.453323,"6,644.60",2.282,60.08,,
15-12-2014,69.371422,58.655823,"7,171.50",2.236,57.83,,
16-12-2014,69.949158,58.325073,"7,200.50",2.307,55.92,,
17-12-2014,72.920486,60.086788,"7,582.60",2.259,56.08,,
18-12-2014,74.990753,61.531239,"7,382.00",2.213,56.38,,
19-12-2014,77.673164,63.20517,"7,589.00",2.173,54.24,,
22-12-2014,77.054146,62.995945,"7,454.90",2.169,56.91,,
23-12-2014,78.374702,63.846409,"7,415.60",2.083,55.26,,
24-12-2014,78.044594,63.299671,"7,396.20",2.115,57.12,,
